movie_id,participant_id,role
2,1,감독
13,1,감독
2,2,주연
2,3,주연
12,3,주연
13,3,주연
2,4,주연
2,5,주연
2,6,주연
13,6,주연
24,6,주연
2,7,조연
2,8,조연
2,9,조연
1,10,감독
1,11,주연
16,11,주연
1,12,조연
1,13,조연
1,14,조연
1,15,조연
1,16,조연
1,17,조연
1,18,조연
3,19,감독
3,20,주연
15,20,주연
18,20,주연
3,21,주연
3,22,주연
24,22,조연
3,23,주연
3,24,주연
3,25,주연
3,26,조연
3,27,조연
4,28,감독
4,29,주연
4,30,주연
4,31,주연
4,32,조연
4,33,조연
4,34,조연
4,35,조연
4,36,조연
5,37,감독
5,38,주연
5,39,주연
5,40,조연
5,41,조연
5,42,조연
5,43,조연
5,44,조연
5,45,조연
6,46,감독
6,29,주연
22,29,주연
6,47,주연
6,48,조연
6,49,조연
6,50,조연
7,51,감독
7,52,주연
7,53,주연
7,54,주연
7,55,조연
21,55,조연
7,56,조연
8,57,감독
8,58,주연
13,58,주연
8,59,주연
18,59,주연
8,11,주연
8,60,조연
8,61,조연
9,62,감독
9,63,주연
9,8,주연
9,64,조연
9,65,조연
9,66,조연
10,67,감독
10,68,주연
10,69,주연
10,70,주연
10,63,주연
10,71,주연
11,72,감독
11,63,주연
11,73,주연
11,8,조연
11,74,조연
11,75,조연
12,76,감독
12,77,주연
12,78,주연
12,79,주연
12,80,조연
13,81,주연
17,81,주연
21,81,주연
13,82,조연
14,83,감독
14,84,주연
14,85,주연
14,86,주연
14,87,주연
14,88,주연
15,89,감독
15,90,주연
15,91,조연
15,92,조연
15,93,조연
16,94,감독
16,95,주연
16,96,주연
16,97,주연
16,98,주연
17,99,감독
17,100,주연
17,101,조연
17,102,조연
17,103,조연
18,104,감독
18,105,주연
19,105,주연
18,106,주연
18,107,조연
19,108,감독
19,109,주연
19,110,조연
19,111,조연
19,112,조연
20,113,감독
20,114,주연
20,115,주연
20,116,주연
20,117,주연
20,118,조연
21,119,감독
21,120,조연
21,121,조연
21,122,조연
22,123,감독
22,124,주연
22,125,주연
22,126,조연
22,127,조연
24,127,조연
23,128,감독
23,129,주연
23,130,주연
23,131,조연
23,132,조연
23,133,조연
24,134,감독
24,135,주연
24,136,조연
25,137,감독
25,138,주연
25,139,주연
25,140,주연
25,141,조연
25,142,조연
26,143,감독
33,143,감독
26,144,주연
26,145,주연
26,146,주연
26,147,조연
26,148,조연
27,149,감독
27,150,주연
31,150,주연
27,151,주연
27,152,조연
27,153,조연
27,154,조연
28,155,감독
28,156,주연
39,156,주연
28,157,주연
28,158,주연
28,159,조연
28,160,조연
29,161,감독
29,162,주연
29,163,주연
29,164,주연
29,165,조연
29,166,조연
30,167,감독
30,168,주연
30,169,조연
30,170,조연
30,171,조연
30,172,조연
31,173,감독
31,174,주연
31,175,조연
31,176,조연
31,177,조연
32,178,감독
32,179,주연
32,180,조연
32,181,조연
32,182,조연
32,183,조연
33,184,주연
33,185,주연
33,186,조연
33,187,조연
33,188,조연
34,189,감독
34,190,주연
34,191,조연
34,192,조연
34,193,조연
34,194,조연
35,195,감독
35,196,주연
35,197,조연
35,198,조연
35,199,조연
35,200,조연
36,201,감독
36,202,주연
36,203,주연
36,204,주연
36,205,조연
36,206,조연
37,207,감독
39,207,감독
37,208,주연
37,209,주연
38,209,주연
37,210,주연
37,211,주연
37,212,조연
38,213,감독
38,214,조연
38,215,조연
38,216,조연
38,217,조연
39,218,주연
39,219,주연
39,220,주연
39,221,조연